stop_id,boardings,alightings,location
326,8.9,39.9,"{'latitude': '41.86741626', 'longitude': '-87.6355436'}"
327,340,775.8,"{'latitude': '41.86740019', 'longitude': '-87.63905542'}"
328,97.7,122.8,"{'latitude': '41.86735198', 'longitude': '-87.64057609'}"
329,234.2,327.3,"{'latitude': '41.86732793', 'longitude': '-87.64204071'}"
331,259,499.5,"{'latitude': '41.86727379', 'longitude': '-87.64654307'}"
332,47.1,38.4,"{'latitude': '41.86721921', 'longitude': '-87.64943144'}"
333,81.9,129.6,"{'latitude': '41.86718872', 'longitude': '-87.65089349'}"
334,78.2,151.4,"{'latitude': '41.8671672', 'longitude': '-87.65307965'}"
335,12.3,17.6,"{'latitude': '41.86711341', 'longitude': '-87.65499111'}"
336,188.8,285.4,"{'latitude': '41.86710533', 'longitude': '-87.65651505'}"
337,100.1,123.1,"{'latitude': '41.86706609', 'longitude': '-87.65903469'}"
340,360.3,332.3,"{'latitude': '41.86695091', 'longitude': '-87.66619588'}"
341,163.5,163.5,"{'latitude': '41.86702876', 'longitude': '-87.66879274'}"
342,66.7,180.5,"{'latitude': '41.86700369', 'longitude': '-87.67112322'}"
343,2.4,18.8,"{'latitude': '41.86695936', 'longitude': '-87.67353822'}"
344,71,213.6,"{'latitude': '41.86693534', 'longitude': '-87.67595278'}"
348,361.8,266.7,"{'latitude': '41.86671595', 'longitude': '-87.68585449'}"
349,19.2,11.6,"{'latitude': '41.86668409', 'longitude': '-87.68877572'}"
350,3.9,16.7,"{'latitude': '41.86659701', 'longitude': '-87.692167'}"
351,17.9,76.3,"{'latitude': '41.86663483', 'longitude': '-87.6933021'}"
353,58.6,80.5,"{'latitude': '41.86656508', 'longitude': '-87.69825112'}"
354,105.2,122.5,"{'latitude': '41.86653975', 'longitude': '-87.70064598'}"
355,84.8,51.7,"{'latitude': '41.86651191', 'longitude': '-87.70314478'}"
356,348.6,364.9,"{'latitude': '41.86650058', 'longitude': '-87.70540269'}"
357,53.5,71.6,"{'latitude': '41.86644971', 'longitude': '-87.70792594'}"
358,301.3,396.5,"{'latitude': '41.86641794', 'longitude': '-87.71026976'}"
359,70.9,111.8,"{'latitude': '41.86640459', 'longitude': '-87.71287363'}"
361,25.4,108.4,"{'latitude': '41.86634534', 'longitude': '-87.71776518'}"
362,99.4,215.5,"{'latitude': '41.86632553', 'longitude': '-87.71938526'}"
364,42.5,208.3,"{'latitude': '41.86628473', 'longitude': '-87.72265925'}"
365,189.7,558.3,"{'latitude': '41.86625401', 'longitude': '-87.72504075'}"
366,40,115.5,"{'latitude': '41.86620917', 'longitude': '-87.72754305'}"
367,45.2,122,"{'latitude': '41.86618436', 'longitude': '-87.72995235'}"
368,29.6,102.7,"{'latitude': '41.86612304', 'longitude': '-87.73235721'}"
369,49.3,156.5,"{'latitude': '41.86610406', 'longitude': '-87.73479765'}"
370,5.9,11.9,"{'latitude': '41.86606861', 'longitude': '-87.73720243'}"
373,1.1,10.4,"{'latitude': '41.86601816', 'longitude': '-87.7422535'}"
